tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037101110,84091,1558,Low Income,Yes,No,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4842,12329806.2148438,14765.6490038758
06037101122,99583,1407,Low Income,No,No,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4843,29088657.1923828,30028.2137708717
06037101220,69676,1357,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4844,7532651.15527344,12504.5521301933
06037101221,53798,1483,Very Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4845,3874399.41796875,8938.42134861514
06037101222,45662,948,Very Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4846,3090537.72753906,9750.96042020995
06037101300,125675,1513,Above Moderate Income,No,No,No,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4847,27694822.4121094,28700.8705710272
06037101400,81154,1336,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4848,67867979.1171875,41887.3323731771
06037102103,72656,714,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4849,12811195.3740234,16198.5518254667
06037102104,107656,1299,Low Income,No,No,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4850,17933361.9628906,27118.7081563965
06037102105,96167,518,Low Income,Yes,No,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4851,5257057.125,9952.66420243989
06037102107,104500,1184,Low Income,No,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4852,139121771.666016,63442.6564858111
06037103101,117857,982,Above Moderate Income,No,No,No,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4853,21327764.9394531,24165.7669241483
06037103102,71754,1646,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4854,13323875.8798828,16273.2413130881
06037103201,91213,1581,Low Income,Yes,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4855,21040409.2324219,18173.2239589304
06037103202,117338,649,Moderate Income,No,No,Yes,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4856,51185007.7939453,44562.150658153
06037103300,148036,1296,Above Moderate Income,No,No,No,District 5,Los Angeles - Shadow Hills,SPA 2 - San Fernando,4857,66024681.0556641,37007.098020571
06037103401,100893,972,Low Income,No,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4858,15045317.2578125,20208.4809663066
06037103402,106161,1378,Low Income,No,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4859,11987350.8457031,14259.8471616325
06037104103,109688,868,Low Income,No,No,Yes,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4860,10007491.6875,12992.0373117186
06037104105,60519,1580,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4861,6295469.3984375,11639.6968948502
06037104108,73344,1291,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4862,11698537.2763672,18498.0049415872
06037104124,90469,1325,Low Income,Yes,No,Yes,District 5,Unincorporated - Kagel/Lopez Canyons,SPA 2 - San Fernando,4863,47953358.1806641,37473.8141348432
06037104201,101509,863,Low Income,No,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4864,11778994.3974609,14691.8972461659
06037104203,67872,1074,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4865,7619758.296875,11052.5266501792
06037104204,66167,718,Very Low Income,Yes,Yes,Yes,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4866,28691700.7539062,29780.4311142764
