Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
1521,181000,18044.4,99.1450549451,6037181000,1536.5906989,201,208542.109,-307630.594,28.514,66.456,1536.6,
1522,181300,15861.4,87.1505494505,6037181300,2618.81550918,202,206669.859,-308540.219,27.89,66.153,2618.8,
1523,181400,16793.9,92.2741758242,6037181400,5153.72587995,203,208012.75,-308436.969,28.338,66.188,5153.7,
1524,181500,17402.0,95.6153846154,6037181500,3636.88553203,204,209474.906,-308604.406,28.825,66.132,3636.9,
1525,181600,15887.0,87.2912087912,6037181600,3533.48910069,205,207956.297,-309202.531,28.319,65.932,3533.5,
1526,183101,16437.5,90.3159340659,6037183101,4148.0846684,206,210514.375,-309926.125,29.171,65.691,4148.1,
1527,183103,15989.7,87.8554945055,6037183103,6296.67310726,207,211086.547,-310631.844,29.362,65.456,3106.7,
1528,183104,16824.1,92.4401098901,6037183104,3106.6532717,208,211362.328,-309983.25,29.454,65.672,3106.7,
1529,183220,15758.2,86.5835164835,6037183220,8201.70785556,209,209844.438,-310213.313,28.948,65.596,8201.7,
1530,183221,16341.9,89.7906593407,6037183221,4664.33131586,210,209676.625,-309622.125,28.892,65.793,4664.3,
1531,183222,16480.5,90.5521978022,6037183222,3883.93527279,211,209085.047,-309228.313,28.695,65.924,3883.9,
1532,183300,15292.0,84.021978022,6037183300,6629.42887097,212,208793.922,-310131.125,28.598,65.623,6629.4,
1534,183402,15042.1,82.6489010989,6037183402,5664.53438848,214,207362.797,-309657.125,28.121,65.781,5664.5,
1538,183620,15221.6,83.6351648352,6037183620,6521.37489621,218,209807.578,-310738.063,28.936,65.421,6521.4,
2164,300800,24567.2,134.984615385,6037300800,1192.42570899,841,206828.0,-303207.531,27.943,67.931,1192.4,
2165,300901,21973.7,120.734615385,6037300901,960.329030934,842,208165.875,-304908.406,28.389,67.364,960.3,
2166,300902,19833.0,108.972527473,6037300902,476.321976629,843,208738.438,-306494.531,28.579,66.835,476.3,
2167,301000,18469.5,101.480769231,6037301000,2466.34512168,844,205910.359,-306293.938,27.637,66.902,2466.3,
2168,301100,19002.6,104.40989011,6037301100,4871.42992029,845,204493.297,-305736.875,27.164,67.088,4871.4,
2169,301203,19458.2,106.913186813,6037301203,8423.59196018,846,203185.344,-305342.063,26.728,67.219,8423.6,
2170,301204,18623.0,102.324175824,6037301204,12988.7609951,847,203310.656,-305868.156,26.77,67.044,12988.8,
2180,301702,16670.5,91.5961538462,6037301702,7054.53869124,857,202493.156,-307015.438,26.498,66.662,7054.5,
