Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
1521,"181000",18044.40000000000,99.14505494510,"06037181000",1536.59069890000,201,208542.10900000000,-307630.59399999998,28.51400000000,66.45600000000,1536.60000000000,
1522,"181300",15861.40000000000,87.15054945050,"06037181300",2618.81550918000,202,206669.85900000000,-308540.21899999998,27.89000000000,66.15300000000,2618.80000000000,
1523,"181400",16793.90000000000,92.27417582420,"06037181400",5153.72587995000,203,208012.75000000000,-308436.96899999998,28.33800000000,66.18800000000,5153.70000000000,
1524,"181500",17402.00000000000,95.61538461540,"06037181500",3636.88553203000,204,209474.90599999999,-308604.40600000002,28.82500000000,66.13200000000,3636.90000000000,
1525,"181600",15887.00000000000,87.29120879120,"06037181600",3533.48910069000,205,207956.29699999999,-309202.53100000002,28.31900000000,65.93200000000,3533.50000000000,
1526,"183101",16437.50000000000,90.31593406590,"06037183101",4148.08466840000,206,210514.37500000000,-309926.12500000000,29.17100000000,65.69100000000,4148.10000000000,
1527,"183103",15989.70000000000,87.85549450550,"06037183103",6296.67310726000,207,211086.54699999999,-310631.84399999998,29.36200000000,65.45600000000,3106.70000000000,
1528,"183104",16824.10000000000,92.44010989010,"06037183104",3106.65327170000,208,211362.32800000001,-309983.25000000000,29.45400000000,65.67200000000,3106.70000000000,
1529,"183220",15758.20000000000,86.58351648350,"06037183220",8201.70785556000,209,209844.43799999999,-310213.31300000002,28.94800000000,65.59600000000,8201.70000000000,
1530,"183221",16341.90000000000,89.79065934070,"06037183221",4664.33131586000,210,209676.62500000000,-309622.12500000000,28.89200000000,65.79300000000,4664.30000000000,
1531,"183222",16480.50000000000,90.55219780220,"06037183222",3883.93527279000,211,209085.04699999999,-309228.31300000002,28.69500000000,65.92400000000,3883.90000000000,
1532,"183300",15292.00000000000,84.02197802200,"06037183300",6629.42887097000,212,208793.92199999999,-310131.12500000000,28.59800000000,65.62300000000,6629.40000000000,
1533,"183401",14937.40000000000,82.07362637360,"06037183401",5321.99121550000,213,208027.93799999999,-310080.31300000002,28.34300000000,65.64000000000,5322.00000000000,
1534,"183402",15042.10000000000,82.64890109890,"06037183402",5664.53438848000,214,207362.79699999999,-309657.12500000000,28.12100000000,65.78100000000,5664.50000000000,
1535,"183510",14571.00000000000,80.06043956040,"06037183510",5559.79040202000,215,208605.35900000000,-310748.25000000000,28.53500000000,65.41700000000,5559.80000000000,
1536,"183520",14264.30000000000,78.37527472530,"06037183520",9148.76217122000,216,208755.60900000000,-311231.68800000002,28.58500000000,65.25600000000,9148.80000000000,
1537,"183610",14865.30000000000,81.67747252750,"06037183610",9075.68470080000,217,209353.34400000001,-310879.25000000000,28.78400000000,65.37400000000,9075.70000000000,
1538,"183620",15221.60000000000,83.63516483520,"06037183620",6521.37489621000,218,209807.57800000001,-310738.06300000002,28.93600000000,65.42100000000,6521.40000000000,
1539,"183701",14815.50000000000,81.40384615380,"06037183701",7460.79299251000,219,210005.76600000000,-311374.12500000000,29.00200000000,65.20900000000,7460.80000000000,
1540,"183702",14663.20000000000,80.56703296700,"06037183702",3186.43669967000,220,210341.23400000000,-311784.87500000000,29.11400000000,65.07200000000,3186.40000000000,
1541,"183810",14146.10000000000,77.72582417580,"06037183810",9941.53657401000,221,209106.06299999999,-311612.46899999998,28.70200000000,65.12900000000,9941.50000000000,
1542,"183820",13891.20000000000,76.32527472530,"06037183820",11335.48905730000,222,209181.20300000001,-311982.00000000000,28.72700000000,65.00600000000,11335.50000000000,
1543,"185100",13298.20000000000,73.06703296700,"06037185100",3007.41037447000,223,207975.01600000000,-311915.93800000002,28.32500000000,65.02800000000,3007.40000000000,
1544,"185202",12106.00000000000,66.51648351650,"06037185202",3214.56231727000,224,207399.71900000001,-313005.59399999998,28.13300000000,64.66500000000,3214.60000000000,
1545,"185203",11782.40000000000,64.73846153850,"06037185203",6006.36344967000,225,206054.90599999999,-312490.03100000002,27.68500000000,64.83700000000,6006.40000000000,
1546,"185204",12460.60000000000,68.46483516480,"06037185204",2240.39827042000,226,206811.90599999999,-312166.34399999998,27.93700000000,64.94500000000,2240.40000000000,
1547,"185310",11567.80000000000,63.55934065930,"06037185310",7283.81501960000,227,206903.34400000001,-313332.15600000002,27.96800000000,64.55600000000,7283.80000000000,
1548,"185320",11143.70000000000,61.22912087910,"06037185320",5415.39890461000,228,206706.57800000001,-313768.93800000002,27.90200000000,64.41000000000,5415.40000000000,
1549,"186100",14630.90000000000,80.38956043960,"06037186100",3594.68871942000,229,206120.56299999999,-309390.15600000002,27.70700000000,65.87000000000,3594.70000000000,
1550,"186201",14394.30000000000,79.08956043960,"06037186201",6025.06214419000,230,207155.18799999999,-310143.84399999998,28.05200000000,65.61900000000,6025.10000000000,
1551,"186202",13968.10000000000,76.74780219780,"06037186202",4934.09426966000,231,206674.50000000000,-310298.28100000002,27.89200000000,65.56700000000,4934.10000000000,
1552,"186203",13919.20000000000,76.47912087910,"06037186203",3598.58889144000,232,207492.87500000000,-310824.71899999998,28.16400000000,65.39200000000,3598.60000000000,
1553,"186301",13507.00000000000,74.21428571430,"06037186301",2550.58156411000,233,205191.42199999999,-310083.96899999998,27.39700000000,65.63900000000,2550.60000000000,
1554,"186302",13033.00000000000,71.60989010990,"06037186302",3163.01582258000,234,206274.42199999999,-311114.21899999998,27.75800000000,65.29500000000,3163.00000000000,
1555,"186401",12866.10000000000,70.69285714290,"06037186401",3664.57480925000,235,204732.57800000001,-310623.06300000002,27.24400000000,65.45900000000,3664.60000000000,
1556,"186403",12459.70000000000,68.45989010990,"06037186403",5493.29595511000,236,205309.40599999999,-311237.71899999998,27.43600000000,65.25400000000,5493.30000000000,
1557,"186404",12175.80000000000,66.90000000000,"06037186404",6298.93076097000,237,205694.42199999999,-311775.21899999998,27.56500000000,65.07500000000,6298.90000000000,
1558,"187101",12255.30000000000,67.33681318680,"06037187101",4016.54932963000,238,203525.51600000000,-310934.75000000000,26.84200000000,65.35500000000,4016.50000000000,
1559,"187102",11555.70000000000,63.49285714290,"06037187102",1568.09090060000,239,205041.95300000001,-312156.90600000002,27.34700000000,64.94800000000,3452.90000000000,
1560,"187200",11351.70000000000,62.37197802200,"06037187200",3452.87207664000,240,204628.89100000000,-312182.96899999998,27.21000000000,64.93900000000,3452.90000000000,
1561,"187300",10748.80000000000,59.05934065930,"06037187300",2809.95712830000,241,203776.28099999999,-312399.25000000000,26.92500000000,64.86700000000,2810.00000000000,
1562,"188100",14656.10000000000,80.52802197800,"06037188100",1995.96607846000,242,202364.54699999999,-308624.71899999998,26.45500000000,66.12500000000,1996.00000000000,
1563,"188201",11470.00000000000,63.02197802200,"06037188201",4357.46655270000,243,202337.04699999999,-311314.84399999998,26.44600000000,65.22800000000,4357.50000000000,
