OBJECTID,Tract_1,CIscore,HazScore,HealthScor,SVscore,CCVscore,Shape__Are,Shape__Len
2,6037920044,4,1,1,1,1,1470811.18359375,5545.2984520509
23,6037301205,6,1,2,2,1,1134011.4765625,4711.88173397012
24,6037300301,7,3,1,1,2,9058500.7578125,15439.9125249836
32,6037910813,6,1,1,1,3,121867232.449219,61638.2835663466
63,6037106645,5,1,1,1,2,3713201.0351562495,11139.4330776178
66,6037297601,6,1,1,2,2,1005675.484375,8803.96361597381
75,6037460401,5,1,1,2,1,7977609.65234375,32965.225329341
86,6037117102,7,1,1,3,2,1523596.4921875,5064.280296461169
97,6037401304,7,2,2,1,2,16939364.1679688,26314.3830997789
98,6037401303,6,1,3,1,1,8635757.65234375,15715.8042319164
99,6037400501,5,1,1,1,2,15945669.4765625,21940.092518589
100,6037400403,7,1,2,2,2,18889093.3398438,20272.029365153696
106,6037650401,7,3,2,1,1,5105129.8671875,11816.7565356291
109,6037621326,6,1,1,2,2,1273467.25,5139.51480202866
110,6037621324,5,1,1,1,2,1112831.0390625,5058.53949323861
121,6037621004,6,2,1,1,2,1275186.3203125,5803.70241055102
122,6037620904,7,2,2,1,2,863620.90625,4135.57580152907
128,6037800506,4,1,1,1,1,38184990.00781249,35208.9406095746
129,6037800504,5,2,1,1,1,31216909.171875,39745.6605104796
130,6037800410,4,1,1,1,1,54688016.11718751,45466.199760009
131,6037800408,4,1,1,1,1,22579045.5117188,31999.1963882384
132,6037800406,4,1,1,1,1,133435602.945313,70464.1021066356
133,6037800332,4,1,1,1,1,7030187.03515625,12579.7759590512
134,6037800330,4,1,1,1,1,41605284.25781249,44507.8190181114
135,6037800329,5,2,1,1,1,33055408.328125,31190.2921211817
136,6037573601,7,1,1,1,4,5390719.375,11843.419578479
142,6037102107,7,2,1,2,2,18951622.519531295,23457.0896018189
145,6037108202,7,1,1,3,2,8800902.73828125,13430.411896014
147,6037106646,6,3,1,1,1,2165408.33984375,8642.3904923657
177,6037430301,5,1,2,1,1,35672877.2695313,31391.832850202496
178,6037430003,4,1,1,1,1,17457456.3671875,27893.127939514
188,6037800327,6,2,1,1,2,8290242.61328125,13965.1882243852
189,6037702102,6,1,3,1,1,1281242.11328125,4846.42499498802
204,6037275602,6,1,3,1,1,3784444.8632812495,10380.5163300877
253,6037400404,6,2,2,1,1,23643553.421875,25907.1135989516
254,6037400207,4,1,1,1,1,7944683.585937501,19198.0509970983
261,6037980028,0,0,5,0,3,25293959.03125,30290.6189922098
262,6037980026,0,2,1,0,1,20399084.421875,37900.6318132166
277,6037113235,7,1,1,2,3,2108768.01171875,10640.4176287655
279,6037980025,0,0,4,0,4,4289682.11328125,11064.4055466191
281,6037980023,0,1,1,0,3,7650102.55078125,14667.9323679249
282,6037980022,0,1,1,0,4,9222918.2265625,14994.4305510837
283,6037980021,0,1,2,0,2,10198277.21875,18934.217463728695
284,6037980020,0,0,2,0,1,12511177.7226563,22293.3482444131
310,6037701304,5,1,2,1,1,2982412.36328125,7818.999787941679
316,6037670602,5,1,2,1,1,20680162.234375,34726.2214098058
317,6037670416,4,1,1,1,1,5668567.12890625,10802.7561998924
