OBJECTID,Tract_1,CIscore,HazScore,HealthScor,SVscore,CCVscore,Shape__Are,Shape__Len
1,6037920336,10,3,1,4,2,2438559.777343750000000,8124.373091270340410
2,6037920044,4,1,1,1,1,1470811.183593750000000,5545.298452050899868
3,6037573003,13,5,3,3,2,652816.796875000000000,3310.743793159950201
4,6037571704,13,3,2,4,4,699401.105468750000000,4113.477174957880379
5,6037570403,17,5,3,5,4,831783.894531250000000,3887.000394430020151
6,6037553503,15,3,4,4,4,617211.996093750000000,3495.393508166519950
7,6037552302,14,4,2,3,5,1390240.398437500000000,5528.303453114420336
8,6037503104,10,1,3,4,2,796205.628906250000000,4021.429990707239995
9,6037550602,11,3,4,2,2,2158706.351562500000000,6127.085860718880213
10,6037550601,17,5,5,3,4,1708499.082031250000000,5362.291642808990218
11,6037550202,15,4,4,3,4,1843022.320312500000000,6142.426909177150264
12,6037550201,14,4,4,4,2,828455.550781250000000,4717.914256248490346
13,6037544002,12,4,4,2,2,1665108.320312500000000,5464.320576070470452
14,6037544001,11,4,2,3,2,3321481.500000000000000,7654.751408784160049
15,6037543905,13,5,2,5,1,3991429.828125000000000,8906.914393790439135
16,6037139504,14,3,3,3,5,425677.246093750000000,2990.052947017260067
17,6037139503,13,2,3,3,5,514346.152343750000000,2989.995262423120039
18,6037139401,15,4,3,3,5,1326637.136718750000000,4692.981140867629620
19,6037137103,16,5,5,2,4,1116335.281250000000000,4332.175420741949893
20,6037134905,11,3,3,2,3,3781808.968750000000000,8123.251894240829643
21,6037134522,14,5,1,4,4,901787.640625000000000,3792.035478031819821
22,6037301206,11,2,2,3,4,1203668.351562500000000,4926.232732448879688
23,6037301205,6,1,2,2,1,1134011.476562500000000,4711.881733970119967
24,6037300301,7,3,1,1,2,9058500.757812500000000,15439.912524983599724
25,6037501002,12,3,5,2,2,2139466.000000000000000,6116.668080744249892
26,6037501001,10,3,3,3,1,1286366.707031250000000,4724.131147297889584
27,6037500404,13,3,5,3,2,1740164.691406250000000,5384.538923370670091
28,6037481606,16,4,4,4,4,1258140.781250000000000,5460.244657272430231
29,6037500403,13,2,5,3,3,3277205.261718750000000,10856.556262997699378
30,6037433101,17,4,5,4,4,2281179.683593750000000,9439.262870878550530
31,6037911001,9,1,2,2,4,552099515.468750000000000,130939.781858943999396
32,6037910813,6,1,1,1,3,121867232.449219003319740,61638.283566346603038
33,6037910716,10,2,1,3,4,3660757.175781250000000,9140.480855247080399
34,6037910715,12,3,1,3,5,2922800.519531250000000,7945.786527922989990
35,6037910714,9,1,1,4,3,1492273.992187500000000,4992.651477487460397
36,6037910711,11,1,1,5,4,5340709.996093750000000,10802.196626085800744
37,6037910606,10,1,1,4,4,2013837.199218750000000,6015.301075657809633
38,6037910605,10,1,1,4,4,1997102.246093750000000,5979.569964123649697
39,6037135114,14,2,3,4,5,1859771.871093750000000,6704.694738950270221
40,6037135113,12,1,4,3,4,935384.593750000000000,4813.931943794190374
41,6037134903,11,2,3,3,3,827371.062500000000000,3859.136570067119919
42,6037134521,15,5,1,5,4,515814.550781250000000,3022.731244065129886
43,6037131701,13,4,1,4,4,966777.390625000000000,3933.239541081659809
44,6037128801,12,3,3,2,4,723414.585937500000000,3487.208551184479802
45,6037127712,12,2,3,3,4,829288.578125000000000,3619.661815797820054
46,6037127606,15,3,4,4,4,801815.242187500000000,3595.761983317599970
47,6037127604,17,4,3,5,5,637977.503906250000000,3643.248328670279989
48,6037124903,13,2,4,2,5,453364.714843750000000,2878.425650828260132
49,6037124204,15,5,4,3,3,474811.515625000000000,2921.242944463109779
50,6037124203,15,4,3,4,4,475305.207031250000000,2922.022751267360036
51,6037124105,16,5,3,4,4,475396.855468750000000,2922.889351344520037
52,6037124103,16,5,3,4,4,474531.464843750000000,2920.463282014799915
53,6037122121,12,4,3,3,2,603970.371093750000000,4426.437647687110257
54,6037121222,17,5,4,4,4,1969441.074218750000000,6732.063050855210349
55,6037121221,14,4,4,4,2,733869.156250000000000,4059.620317795709980
56,6037121101,13,4,4,3,2,692384.242187500000000,3956.124743977450180
57,6037120108,11,1,2,4,4,567606.597656250000000,3117.802483973599919
58,6037481605,18,5,5,4,4,1117422.695312500000000,5146.499046688019916
59,6037124902,15,3,4,3,5,496804.789062500000000,2971.106524372939930
60,6037124104,18,5,4,4,5,475321.417968750000000,2922.272731041390216
61,6037123902,14,4,4,2,4,965783.730468750000000,4296.383257717159722
62,6037121102,12,4,1,2,5,11064800.753906300291419,13885.702233689100467
63,6037106645,5,1,1,1,2,3713201.035156250000000,11139.433077617799427
64,6037104204,14,4,2,4,4,3917809.359375000000000,11164.092256884499875
65,6037297602,8,3,1,2,2,895658.503906250000000,4510.108993336079948
66,6037297601,6,1,1,2,2,1005675.484375000000000,8803.963615973809283
67,6037910505,12,3,1,4,4,2396509.117187500000000,8608.629477510290599
68,6037910504,12,2,1,4,5,2347293.398437500000000,7024.343566393809851
69,6037910002,9,1,2,3,3,107315848.074219003319740,50346.661473866297456
70,6037901011,9,1,1,2,5,3941208.335937500000000,7941.092543529690374
71,6037901010,9,1,1,3,4,3941494.882812500000000,7941.307118163390442
72,6037901009,10,1,1,3,5,3928398.628906250000000,7936.612675996379949
73,6037900609,10,1,1,4,4,3941279.199218750000000,9961.231526858629877
74,6037502802,17,4,3,5,5,5565089.066406250000000,13467.914941997099959
75,6037460401,5,1,1,2,1,7977609.652343750000000,32965.225329341003089
76,6037577504,8,1,1,1,5,826303.820312500000000,6083.693922125189602
77,6037120107,13,1,2,5,5,302052.894531250000000,2239.805868101229862
