CT10,TractSNAP,Pop2010
911001.0,87.0,4201.0
980003.0,0.0,2.0
930301.0,12.0,886.0
573003.0,46.0,1802.0
297602.0,119.0,3503.0
297601.0,78.0,2594.0
577504.0,0.0,1448.0
576903.0,210.0,3802.0
576302.0,404.0,4101.0
576301.0,258.0,4176.0
576001.0,22.0,4969.0
293306.0,35.0,2189.0
295103.0,24.0,4875.0
980015.0,42.0,554.0
670602.0,29.0,7345.0
670416.0,15.0,4139.0
670328.0,12.0,4504.0
670326.0,0.0,3807.0
670324.0,0.0,5127.0
651402.0,37.0,6050.0
651401.0,7.0,2614.0
297202.0,145.0,3423.0
297201.0,148.0,3475.0
296902.0,117.0,3851.0
296901.0,232.0,4127.0
296402.0,123.0,3091.0
296401.0,0.0,3191.0
294701.0,203.0,3019.0
294421.0,166.0,2950.0
294302.0,150.0,4754.0
670001.0,135.0,3311.0
294301.0,40.0,2448.0
293307.0,90.0,2306.0
543703.0,66.0,3472.0
297300.0,21.0,2374.0
297120.0,52.0,3315.0
296500.0,202.0,3910.0
297110.0,344.0,4679.0
297400.0,8.0,3603.0
297500.0,10.0,5163.0
609900.0,47.0,2034.0
296220.0,408.0,4307.0
670413.0,0.0,4782.0
574500.0,16.0,6357.0
574901.0,0.0,3725.0
577100.0,110.0,6700.0
575002.0,90.0,4627.0
294820.0,235.0,3579.0
293304.0,156.0,4178.0
293302.0,239.0,4720.0
670403.0,5.0,2407.0
574400.0,24.0,5141.0
576802.0,83.0,3992.0
576801.0,113.0,4325.0
576700.0,112.0,4047.0
576601.0,96.0,4399.0
576602.0,102.0,3995.0
576501.0,233.0,3369.0
576503.0,105.0,4454.0
576200.0,538.0,6158.0
576401.0,340.0,4779.0
576403.0,399.0,5033.0
294110.0,117.0,4140.0
294610.0,208.0,4065.0
543604.0,51.0,5620.0
576502.0,266.0,4543.0
294620.0,249.0,4219.0
294410.0,407.0,4579.0
294200.0,89.0,4951.0
572202.0,80.0,3609.0
670701.0,31.0,6882.0
670002.0,40.0,4001.0
294520.0,196.0,3564.0
296600.0,326.0,5218.0
575103.0,249.0,5119.0
576402.0,374.0,5181.0
575902.0,392.0,4762.0
575401.0,351.0,5155.0
575901.0,243.0,3454.0
575102.0,319.0,4510.0
575803.0,221.0,2837.0
297000.0,51.0,5343.0
575801.0,197.0,2446.0
294830.0,245.0,3707.0
294510.0,176.0,4214.0
294900.0,207.0,3265.0
296210.0,128.0,3019.0
294810.0,278.0,3991.0
577501.0,0.0,3435.0
575201.0,296.0,4667.0
575202.0,357.0,4916.0
296300.0,76.0,4221.0
980033.0,0.0,61.0
980031.0,0.0,1262.0
670405.0,0.0,2646.0
670702.0,11.0,5477.0
670500.0,3.0,1860.0
651302.0,81.0,6311.0
575402.0,278.0,4065.0
573002.0,230.0,3990.0
577200.0,88.0,5414.0
573402.0,188.0,6430.0
575802.0,451.0,5167.0
573403.0,19.0,3208.0
575500.0,16.0,76.0
574202.0,31.0,2161.0
574201.0,13.0,3117.0
574601.0,0.0,1863.0
670406.0,0.0,1903.0
670202.0,4.0,2594.0
670003.0,133.0,5788.0
670411.0,0.0,4427.0
572600.0,111.0,5370.0
573300.0,282.0,4323.0
575300.0,502.0,4947.0
572900.0,361.0,5250.0
573201.0,133.0,4930.0
573100.0,300.0,7165.0
572700.0,89.0,5499.0
572800.0,74.0,839.0
577000.0,198.0,6995.0
573202.0,332.0,6230.0
543603.0,65.0,3690.0
294120.0,118.0,2370.0
980014.0,0.0,239.0
651101.0,18.0,5103.0
670100.0,254.0,6659.0
670407.0,116.0,5758.0
599100.0,0.0,527.0
670201.0,0.0,3852.0
574700.0,0.0,117.0
574602.0,5.0,1277.0
574800.0,21.0,3000.0
599000.0,162.0,3569.0
577603.0,0.0,8255.0
577400.0,29.0,3253.0
577602.0,0.0,3441.0
577300.0,74.0,5547.0
577604.0,5.0,1388.0
576904.0,65.0,3288.0
573004.0,250.0,5153.0
576901.0,346.0,6092.0
575101.0,214.0,4754.0
575001.0,33.0,3608.0
574902.0,87.0,4783.0
574300.0,13.0,5795.0
920336.0,292.0,7027.0
920044.0,20.0,2686.0
910813.0,35.0,3535.0
910716.0,158.0,6117.0
910715.0,293.0,6702.0
910714.0,121.0,3596.0
910711.0,384.0,7585.0
910606.0,176.0,2970.0
910605.0,269.0,4535.0
910505.0,126.0,3064.0
910504.0,246.0,4797.0
901011.0,125.0,5069.0
901010.0,312.0,5913.0
901009.0,122.0,5318.0
900609.0,185.0,5243.0
900608.0,72.0,3536.0
900507.0,274.0,7669.0
900506.0,93.0,4352.0
900505.0,143.0,4002.0
106406.0,13.0,4962.0
920118.0,32.0,6117.0
920114.0,39.0,6490.0
900201.0,52.0,1261.0
920337.0,274.0,7257.0
900803.0,242.0,8284.0
900805.0,200.0,5089.0
901007.0,15.0,2258.0
901101.0,126.0,5496.0
900501.0,166.0,6764.0
901004.0,203.0,12544.0
901102.0,83.0,5557.0
920015.0,29.0,6353.0
910201.0,190.0,3549.0
910302.0,58.0,6387.0
910402.0,308.0,3751.0
910403.0,206.0,2235.0
910501.0,605.0,5339.0
910601.0,391.0,6460.0
910502.0,234.0,4086.0
910401.0,100.0,6608.0
910603.0,295.0,7075.0
900300.0,75.0,4514.0
910404.0,211.0,4130.0
910602.0,292.0,3995.0
910706.0,198.0,6022.0
910707.0,320.0,4329.0
920326.0,60.0,6840.0
980004.0,0.0,169.0
920338.0,54.0,5721.0
920119.0,0.0,1896.0
920116.0,13.0,5181.0
920045.0,40.0,4622.0
910713.0,182.0,5324.0
910712.0,61.0,2772.0
910210.0,111.0,7103.0
106111.0,47.0,4334.0
106603.0,8.0,2979.0
910209.0,99.0,4397.0
910208.0,117.0,6340.0
910207.0,127.0,6023.0
910101.0,111.0,1684.0
901210.0,11.0,1591.0
901008.0,52.0,2874.0
900508.0,93.0,3334.0
920332.0,23.0,2337.0
106510.0,59.0,5108.0
910205.0,28.0,1371.0
910705.0,253.0,11415.0
910206.0,70.0,3246.0
920328.0,7.0,1990.0
920330.0,39.0,5349.0
920329.0,29.0,5460.0
920303.0,13.0,1446.0
920312.0,124.0,5268.0
920313.0,69.0,6010.0
920314.0,10.0,2909.0
901205.0,219.0,10466.0
910807.0,105.0,5489.0
920023.0,34.0,2598.0
920200.0,0.0,6920.0
920104.0,27.0,2798.0
920016.0,0.0,4904.0
920028.0,71.0,5684.0
910805.0,60.0,4839.0
920038.0,154.0,4430.0
920035.0,133.0,7720.0
920334.0,134.0,6598.0
920042.0,111.0,6769.0
910809.0,8.0,2235.0
920018.0,24.0,2277.0
910301.0,26.0,4219.0
106020.0,107.0,5557.0
920034.0,30.0,3628.0
910808.0,55.0,3537.0
920017.0,4.0,4342.0
930200.0,19.0,546.0
910202.0,105.0,5223.0
920115.0,47.0,4149.0
920102.0,271.0,5668.0
