tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037101110,84091.0,1558,Low Income,Yes,No,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4842,12329806.2148438,14765.6490038758
6037101122,99583.0,1407,Low Income,No,No,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4843,29088657.1923828,30028.2137708717
6037101220,69676.0,1357,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4844,7532651.15527344,12504.5521301933
6037101221,53798.0,1483,Very Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4845,3874399.41796875,8938.42134861514
6037101300,125675.0,1513,Above Moderate Income,No,No,No,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4847,27694822.4121094,28700.8705710272
6037101400,81154.0,1336,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,4848,67867979.1171875,41887.3323731771
6037102103,72656.0,714,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4849,12811195.3740234,16198.5518254667
6037102104,107656.0,1299,Low Income,No,No,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4850,17933361.9628906,27118.7081563965
6037102105,96167.0,518,Low Income,Yes,No,Yes,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,4851,5257057.125,9952.66420243989
6037102107,104500.0,1184,Low Income,No,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4852,139121771.666016,63442.6564858111
6037103101,117857.0,982,Above Moderate Income,No,No,No,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4853,21327764.9394531,24165.7669241483
6037103102,71754.0,1646,Low Income,Yes,Yes,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4854,13323875.8798828,16273.2413130881
6037103201,91213.0,1581,Low Income,Yes,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4855,21040409.2324219,18173.2239589304
6037103202,117338.0,649,Moderate Income,No,No,Yes,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4856,51185007.7939453,44562.150658153
6037103300,148036.0,1296,Above Moderate Income,No,No,No,District 5,Los Angeles - Shadow Hills,SPA 2 - San Fernando,4857,66024681.0556641,37007.098020571
6037103401,100893.0,972,Low Income,No,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4858,15045317.2578125,20208.4809663066
6037103402,106161.0,1378,Low Income,No,No,Yes,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,4859,11987350.8457031,14259.8471616325
6037104103,109688.0,868,Low Income,No,No,Yes,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4860,10007491.6875,12992.0373117186
6037104105,60519.0,1580,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4861,6295469.3984375,11639.6968948502
6037104108,73344.0,1291,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4862,11698537.2763672,18498.0049415872
6037104124,90469.0,1325,Low Income,Yes,No,Yes,District 5,Unincorporated - Kagel/Lopez Canyons,SPA 2 - San Fernando,4863,47953358.1806641,37473.8141348432
6037104201,101509.0,863,Low Income,No,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4864,11778994.3974609,14691.8972461659
6037104203,67872.0,1074,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4865,7619758.296875,11052.5266501792
6037104204,66167.0,718,Very Low Income,Yes,Yes,Yes,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,4866,28691700.7539062,29780.4311142764
6037104310,106250.0,885,Low Income,No,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4867,16008672.9794922,19026.1836900057
6037104321,65521.0,773,Very Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4868,5595372.671875,10641.697631319
6037104322,88125.0,445,Low Income,Yes,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4869,7498677.06640625,14606.3833433496
6037104401,75234.0,623,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4870,7474268.68945312,12419.644324963
6037104403,98400.0,510,Low Income,No,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4871,7398381.78320312,16067.758161955
6037104404,88125.0,746,Low Income,Yes,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4872,5808075.99707031,10935.7071888996
6037104500,77888.0,621,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4873,5715318.89160156,11300.664483623
6037104610,86220.0,652,Low Income,Yes,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4874,6371675.47460938,11599.2417873073
6037104620,88972.0,703,Low Income,Yes,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4875,5716579.41699219,11300.4360398197
6037104704,72784.0,1231,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4879,17921965.6357422,16919.1964901945
6037104821,81518.0,751,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4880,5724316.27636719,11302.2406259718
6037104823,81500.0,692,Low Income,Yes,Yes,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4882,5718934.2578125,11300.8023205029
6037104824,112375.0,486,Moderate Income,No,No,Yes,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,4883,6374083.48828125,11599.6779386916
6037106010,144375.0,938,Above Moderate Income,No,No,No,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4884,27335436.6582031,23881.0654786666
6037106020,123250.0,1298,Above Moderate Income,No,No,No,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4885,21441404.3994141,22165.1278355623
6037106111,115357.0,1390,Moderate Income,No,No,Yes,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4886,29954716.9316406,27404.3626081287
6037106112,100758.0,1430,Low Income,No,No,Yes,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,4887,34795935.4101562,48958.7063304225
